file,label,x,y,dx,dy,code,phase,
1141,person2,956,536,931.9019,575.6393,0,1,
1141,person2,959,182,928.5782,263.4876,0,1,
1141,person2,328,180,312.6044,271.1646,0,1,
1141,person2,317,546,302.3872,608.6844,0,1,
1141,person2,316,903,285.2514,1003.1171,0,1,
1141,person2,964,900,946.4754,921.5292,0,1,
1141,person2,1599,897,1582.5071,999.9147,0,1,
1141,person2,1598,537,1568.9175,583.4536,0,1,
1141,person2,1600,175,1575.3971,257.072,0,1,
1141,person2,1084,716,1021.3402,732.2064,0,2,
1141,person2,263,713,267.4242,833.7739,0,2,
1141,person2,972,833,966.9351,850.9935,0,2,
1141,person2,1009,607,958.34,674.9174,0,2,
1141,person2,433,722,378.0544,883.9614,0,2,
1141,person2,368,862,388.0983,891.0567,0,2,
1141,person2,1798,604,940.6565,367.4228,0,2,
1141,person2,1180,715,530.6245,630.3734,0,3,
1141,person2,642,596,554.8232,638.9102,0,3,
1141,person2,386,833,336.1389,922.6183,0,3,
1141,person2,323,734,303.4202,808.6769,0,3,
1141,person2,579,835,588.1172,925.3408,0,3,
1141,person2,1195,723,1333.7937,840.3281,0,3,
1141,person2,1239,626,1197.7751,683.0229,0,3,
1141,person2,394,609,397.3835,690.4383,0,3,
1141,person2,422,722,394.046,816.2427,0,3,
1141,person2,1176,712,1107.1975,646.6141,0,3,
1141,person2,1153,612,1109.9587,625.3098,0,3,
1141,person2,1745,455,929.8336,307.8416,0,3,
1141,person2,1745,455,926.6294,307.8416,0,3,
1141,person2,1745,455,922.3178,313.0244,0,3,
1141,person2,1745,455,914.9247,326.3959,0,3,
1141,person2,1745,455,910.8536,330.2822,0,3,
1141,person2,1745,455,930.3207,330.7394,0,3,
1141,person2,353,843,299.2968,955.0952,0,3,
1141,person2,1182,702,1155.3854,727.0693,0,3,
1141,person2,1254,599,1199.6023,691.7127,0,3,
1141,person2,402,577,374.5195,660.8557,0,3,
1141,person2,402,724,370.9637,728.1993,0,3,
1141,person2,1159,706,1137.8718,710.7997,0,3,
1141,person2,1131,599,1142.9014,693.9875,0,3,
1141,person2,1753,641,951.1752,331.055,0,3,
1141,person2,1806,652,1343.1683,482.2238,0,3,
1141,person2,1398,598,1242.8292,595.1382,0,4,
1141,person2,1294,584,1234.0205,600.962,0,4,
1141,person2,1310,706,1077.7445,618.5621,0,4,
1141,person2,1146,589,1066.2341,607.9141,0,4,
1141,person2,756,577,556.5369,619.7237,0,4,
1141,person2,514,569,456.1652,648.4011,0,4,
1141,person2,606,836,842.8433,817.3254,0,4,
1141,person2,938,729,869.8931,811.8881,0,4,
1141,person2,988,814,922.7411,807.9167,0,4,
1141,person2,1135,576,1124.5391,689.9379,0,4,
1141,person2,1168,687,1111.3928,672.8852,0,4,
1141,person2,311,709,856.8456,342.4761,0,4,
1141,person2,1794,628,972.2598,334.6898,0,4,
1141,person2,554,721,488.4808,753.2476,0,5,
1141,person2,1283,597,901.8887,368.5042,0,5,
1141,person2,390,578,343.6638,671.9957,0,5,
1141,person2,1288,608,1233.1316,596.6965,0,5,
1141,person2,1312,702,1242.4077,626.5101,0,5,
1141,person2,1037,828,915.9922,585.7443,0,5,
1141,person2,990,833,930.7,345.1035,0,5,
1141,person2,856,594,909.2875,571.3947,0,5,
1141,person2,744,600,654.0252,602.543,0,5,
1141,person2,503,600,955.1981,313.9335,0,5,
1141,person2,441,717,422.3387,754.5262,0,5,
1141,person2,1729,477,988.7457,360.6999,0,5,
1141,person2,1175,715,1001.2663,380.4026,0,5,
1141,person2,433,715,415.5601,773.5404,0,5,
1141,person2,789,598,991.7618,321.4203,0,5,
1141,person2,1811,623,1005.1265,361.7277,0,5,
1141,person2,962,546,929.1799,559.8156,0,6,
1141,person2,961,175,923.9662,254.7437,0,6,
1141,person2,1589,177,1562.8792,272.5537,0,6,
1141,person2,1595,174,1556.3066,275.007,0,6,
1141,person2,1602,529,1574.1346,621.2742,0,6,
1141,person2,1593,541,1572.3759,619.6118,0,6,
1141,person2,1605,898,1560.9675,1012.2395,0,6,
1141,person2,957,899,931.6562,878.75,0,6,
1141,person2,328,904,274.9069,1012.9822,0,6,
1141,person2,317,544,296.4585,629.3942,0,6,
1141,person2,318,178,316.1277,297.1671,0,6,
1143,person3,956,541,903.8305,533.3576,0,1,
1143,person3,958,185,918.2865,175.953,0,1,
1143,person3,320,176,211.2419,121.1501,0,1,
1143,person3,315,539,167.0622,549.0606,0,1,
1143,person3,317,907,60.8553,992.2637,0,1,
1143,person3,962,896,832.3315,438.0794,0,1,
1143,person3,1608,542,1103.7992,709.6919,0,1,
1143,person3,1604,898,730.6566,676.8276,0,1,
1143,person3,1602,179,1107.2368,387.8678,0,1,
1143,person3,541,721,10.0153,1036.6135,0,2,
1143,person3,307,687,-89.4839,977.5233,0,2,
1143,person3,309,688,540.4884,385.815,0,2,
1143,person3,1802,500,653.1952,466.20099999999996,0,2,
1143,person3,397,596,515.1538,436.13300000000004,0,2,
1143,person3,397,595,273.7222,653.0952,0,2,
1143,person3,1098,606,1023.94,641.2684,0,2,
1143,person3,516,706,391.3315,742.8156,0,2,
1143,person3,1789,492,953.4347,320.598,0,2,
1143,person3,1788,492,961.1079,270.5821,0,2,
1143,person3,1788,492,948.9258,246.2336,0,2,
1143,person3,1151,589,1120.6353,618.5309,0,2,
1143,person3,537,677,902.191,284.7701,0,2,
1143,person3,1861,651,951.082,238.0316,0,2,
1143,person3,399,710,281.6903,724.2154,0,3,
1143,person3,1212,712,1153.5774,742.1426,0,3,
1143,person3,605,582,542.5602,624.7622,0,3,
1143,person3,382,857,209.8364,891.9251,0,3,
1143,person3,900,597,800.2543,573.8234,0,3,
1143,person3,1429,569,1394.0026,606.9199,0,3,
1143,person3,586,867,454.8994,899.0734,0,3,
1143,person3,392,835,239.1263,942.8103,0,3,
1143,person3,885,597,806.3034,610.545,0,3,
1143,person3,1171,704,954.7517,294.0201,0,3,
1143,person3,1786,637,1145.0403,373.5345,0,3,
1143,person3,1328,592,1152.262,559.3358,0,4,
1143,person3,1293,588,1048.3281,402.08099999999996,0,4,
1143,person3,1709,479,1324.6034,580.9625,0,4,
1143,person3,1359,586,1315.9045,564.3466,0,4,
1143,person3,1270,572,1268.0143,567.7514,0,4,
1143,person3,1301,720,1230.5402,653.9324,0,4,
1143,person3,1136,617,1121.671,612.6818,0,4,
1143,person3,725,565,682.0801,575.2686,0,4,
1143,person3,526,573,911.9399,268.0158,0,4,
1143,person3,639,826,470.1245,895.3295,0,4,
1143,person3,913,702,805.7246,740.2582,0,4,
1143,person3,1000,839,908.8541,835.0539,0,4,
1143,person3,1147,585,1108.0510000000002,672.4285,0,4,
1143,person3,1186,725,998.8504,272.9594,0,4,
1143,person3,322,715,734.3488,497.7348,0,4,
1143,person3,1872,604,971.9279,262.1066,0,4,
1143,person3,634,587,444.8504,596.2833,0,5,
1143,person3,317,719,139.1947,776.6118,0,5,
1143,person3,996,879,944.7298,854.0987,0,5,
1143,person3,529,705,403.3038,755.8703,0,5,
1143,person3,1287,579,1267.7217,611.2873,0,5,
1143,person3,1118,857,1072.4952,868.9328,0,5,
1143,person3,1803,633,1010.3837,294.0463,0,5,
1143,person3,961,537,912.347,508.11699999999996,0,6,
1143,person3,959,175,927.9075,166.7565,0,6,
1143,person3,317,176,213.7227,118.0354,0,6,
1143,person3,324,533,177.2388,552.9059,0,6,
1143,person3,319,895,132.189,990.9906,0,6,
1143,person3,962,905,871.0695,910.4339,0,6,
1143,person3,1607,903,1589.5275,1010.5711,0,6,
1143,person3,1600,539,1603.1688,571.4269,0,6,
1143,person3,1602,178,264.7336,569.8551,0,6,
1147,person15,966,544,944.2107,149.849,0,1,
1147,person15,969,189,986.5475,-280.562,0,1,
1147,person15,307,171,51.2763,-442.8131,0,1,
1147,person15,323,182,159.855,-404.6187,0,1,
1147,person15,321,540,19.9999,95.9864,0,1,
1147,person15,310,902,17.5818,662.2458,0,1,
1147,person15,958,907,919.0239,636.5438,0,1,
1147,person15,1615,909,1698.3075,696.7466,0,1,
1147,person15,1606,911,1726.8896,708.7560000000001,0,1,
1147,person15,1601,909,1706.5605,731.4565,0,1,
1147,person15,1601,555,1806.2043,189.3153,0,1,
1147,person15,1599,539,1801.7802,198.9681,0,1,
1147,person15,1599,182,2013.7332,-218.707,0,1,
1147,person15,1091,841,1144.2523,274.6184,0,2,
1147,person15,1128,609,1132.5226,249.97099999999998,0,2,
1147,person15,627,856,434.2935,592.4612,0,2,
1147,person15,942,720,919.2127,385.2757,0,2,
1147,person15,280,698,1063.1755,-135.9747,0,2,
1147,person15,1331,735,980.4860000000001,-155.0574,0,2,
1147,person15,1839,618,991.301,-78.4073,0,2,
1147,person15,944,711,879.7979,367.8512,0,3,
1147,person15,307,713,-7.4324,385.7395,0,3,
1147,person15,638,850,778.6689,445.1242,0,3,
1147,person15,904,731,1116.3899,300.1783,0,3,
1147,person15,1043,602,1026.1796,-154.7547,0,3,
1147,person15,1291,733,1379.8243,498.5847,0,3,
1147,person15,269,730,988.7871,-137.4817,0,3,
1147,person15,1841,680,1024.5897,-84.556,0,3,
1147,person15,1334,582,1389.4141,247.6435,0,4,
1147,person15,1387,595,1382.4282,216.2815,0,4,
1147,person15,1266,583,1382.1261,248.1448,0,4,
1147,person15,1305,716,1372.2018,274.8669,0,4,
1147,person15,1147,603,554.8428,237.8157,0,4,
1147,person15,732,606,515.5742,219.2079,0,4,
1147,person15,484,574,614.1144,619.7247,0,4,
1147,person15,610,833,645.3743,596.9146,0,4,
1147,person15,908,724,838.7863,512.9319,0,4,
1147,person15,971,833,1149.1278,408.7019,0,4,
1147,person15,1151,568,1150.6029,421.8485,0,4,
1147,person15,1154,717,999.0009,-96.5479,0,4,
1147,person15,284,678,818.0205,-147.2522,0,4,
1147,person15,1863,666,1099.3503,-209.2409,0,4,
1147,person15,314,709,383.2887,543.3674,0,5,
1147,person15,870,842,727.1664,565.3439,0,5,
1147,person15,628,844,448.3247,577.9018,0,5,
1147,person15,569,732,321.2603,235.5362,0,5,
1147,person15,538,586,331.5858,227.0025,0,5,
1147,person15,664,708,718.1349,372.1825,0,5,
1147,person15,780,706,715.3594,401.3521,0,5,
1147,person15,906,710,968.7748,352.1949,0,5,
1147,person15,1141,605,1147.0452,318.5554,0,5,
1147,person15,1074,732,1135.2994,317.5772,0,5,
1147,person15,1164,703,1147.3531,316.2477,0,5,
1147,person15,1285,708,1142.9336,329.0284,0,5,
1147,person15,1782,620,1145.1626,-209.7327,0,5,
1147,person15,962,540,975.3484,143.0185,0,6,
1147,person15,975,176,980.7125,-273.4251,0,6,
1147,person15,963,177,1136.4878,-190.6534,0,6,
1147,person15,310,177,5.1854,-474.7407,0,6,
1147,person15,322,540,4.4436,98.7812,0,6,
1147,person15,312,895,45.8651,651.9033,0,6,
1147,person15,963,904,933.8508,628.1967,0,6,
1147,person15,1588,896,1726.3055,714.3727,0,6,
1147,person15,1601,538,1839.7257,196.5148,0,6,
1147,person15,1601,189,1977.0149,-291.2939,0,6,
1147,person15,1595,903,1725.4999,717.3906,0,6,
1148,person13,960,541,939.9984,227.4958,0,1,
1148,person13,962,182,955.2596,-172.9575,0,1,
1148,person13,325,181,136.1232,-341.5762,0,1,
1148,person13,318,540,113.7187,183.1405,0,1,
1148,person13,315,897,98.9929,706.9424,0,1,
1148,person13,961,900,921.7923,648.0125,0,1,
1148,person13,1593,899,1685.6685,731.5415,0,1,
1148,person13,1603,538,1746.2239,270.2258,0,1,
1148,person13,1603,184,1831.0981,-166.99900000000002,0,1,
1148,person13,287,690,639.8415,427.4989,0,2,
1148,person13,955,849,941.0331,591.158,0,2,
1148,person13,955,849,969.7809,7.5429,0,2,
1148,person13,311,707,840.6562,11.3415,0,2,
1148,person13,1792,593,1717.1223,188.4661,0,2,
1148,person13,406,707,173.8653,445.2534,0,3,
1148,person13,345,828,142.5604,450.2692,0,3,
1148,person13,293,736,456.7487,405.7538,0,3,
1148,person13,661,719,541.6788,408.925,0,3,
1148,person13,1275,575,963.801,314.7159,0,3,
1148,person13,633,579,517.5532,268.2672,0,3,
1148,person13,343,844,864.0846,35.6143,0,3,
1148,person13,1780,621,1036.1958,-37.2011,0,3,
1148,person13,1365,582,1360.0607,304.5947,0,4,
1148,person13,1269,568,1329.3094,323.3185,0,4,
1148,person13,1291,679,1279.256,420.8853,0,4,
1148,person13,1163,603,1268.5378,328.3082,0,4,
1148,person13,767,579,503.0854,263.1523,0,4,
1148,person13,518,574,405.8562,444.6127,0,4,
1148,person13,597,846,463.9899,633.7293,0,4,
1148,person13,910,737,881.3786,450.5133,0,4,
1148,person13,998,841,983.7460000000001,562.2280000000001,0,4,
1148,person13,1138,584,1168.1532,328.24199999999996,0,4,
1148,person13,1166,708,1206.9492,436.4006,0,4,
1148,person13,288,714,805.5244,8.9751,0,4,
1148,person13,1801,595,1086.6721,5.3028,0,4,
1148,person13,539,714,402.6774,441.5926,0,5,
1148,person13,1250,581,1354.7245,311.2264,0,5,
1148,person13,372,574,734.8926,256.9214,0,5,
1148,person13,1249,584,1343.119,326.6241,0,5,
1148,person13,1271,700,1327.2803,410.2103,0,5,
1148,person13,985,852,974.8427,246.8918,0,5,
1148,person13,892,598,888.8823,273.3217,0,5,
1148,person13,768,600,385.2484,228.7979,0,5,
1148,person13,529,577,352.4556,274.6366,0,5,
1148,person13,1140,708,1210.714,457.4165,0,5,
1148,person13,416,736,889.674,-63.5563,0,5,
1148,person13,740,592,969.2798,-140.1371,0,5,
1148,person13,1787,583,1067.2451,6.8677,0,5,
1148,person13,968,543,953.7325,241.0303,0,6,
